Par,Algoritmo,Expandidos,Frontera_Max,Tiempo_ms,Arcos,Metros
1,BFS,32,12,0.1368,7,611.7
1,DFS,825,358,4.5955,431,32476.7
1,UCS,47,15,0.2775,7,611.7
2,BFS,933,118,3.6858,24,3819.99
2,DFS,323,211,1.8502,277,21136.59
2,UCS,1991,95,11.4641,30,3539.08
3,BFS,90,32,0.3523,11,914.03
3,DFS,1229,442,9.2994,559,40260.06
3,UCS,167,58,0.8676,11,914.03
4,BFS,519,109,1.6506,16,2995.05
4,DFS,1234,461,9.4185,616,45328.29
4,UCS,749,94,2.6774,23,1986.54
5,BFS,1526,98,4.3299,32,2444.41
5,DFS,504,222,1.7972,249,18325.55
5,UCS,1577,112,4.509,32,2423.7
