Par,Algoritmo,Expandidos,Frontera_Max,Tiempo_ms,Arcos,Metros,b_estrella
1,A*-Euclidiana,17,8,0.0567,7,611.7,1.2236
1,A*-Haversine,17,8,0.0582,7,611.7,1.2236
1,A*-Personalizada,19,8,0.1196,7,611.7,1.2521
1,Greedy-Euclidiana,17,8,0.1024,7,611.7,1.2236
1,Greedy-Haversine,17,8,0.1086,7,611.7,1.2236
1,Greedy-Personalizada,18,9,0.1135,9,791.57,1.1364
1,UCS,47,15,0.171,7,611.7,1.4927
2,A*-Euclidiana,495,118,1.6188,30,3539.08,1.1495
2,A*-Haversine,495,118,1.8641,30,3539.08,1.1495
2,A*-Personalizada,466,111,1.5539,30,3539.08,1.1466
2,Greedy-Euclidiana,60,44,0.3235,51,4523.25,1.0061
2,Greedy-Haversine,60,44,0.2591,51,4523.25,1.0061
2,Greedy-Personalizada,58,45,0.2427,51,4523.25,1.0049
2,UCS,1991,95,7.1432,30,3539.08,1.2162
3,A*-Euclidiana,24,17,0.0853,11,914.03,1.1258
3,A*-Haversine,24,17,0.0955,11,914.03,1.1258
3,A*-Personalizada,17,14,0.1011,11,914.03,1.0711
3,Greedy-Euclidiana,16,16,0.0825,11,914.03,1.0613
3,Greedy-Haversine,16,16,0.0952,11,914.03,1.0613
3,Greedy-Personalizada,16,16,0.0959,11,914.03,1.0613
3,UCS,167,58,0.5063,11,914.03,1.4303
4,A*-Euclidiana,249,44,0.7357,23,1986.54,1.1703
4,A*-Haversine,249,44,0.9375,23,1986.54,1.1703
4,A*-Personalizada,240,46,1.0585,23,1986.54,1.1679
4,Greedy-Euclidiana,60,18,0.2631,25,2360.02,1.0621
4,Greedy-Haversine,60,18,0.2593,25,2360.02,1.0621
4,Greedy-Personalizada,64,20,0.285,25,2360.02,1.0663
4,UCS,749,94,2.2186,23,1986.54,1.2424
5,A*-Euclidiana,192,59,0.6978,32,2423.7,1.0934
5,A*-Haversine,192,59,0.8212,32,2423.7,1.0934
5,A*-Personalizada,173,49,0.6967,32,2423.7,1.0884
5,Greedy-Euclidiana,49,41,0.4227,37,2805.22,1.0143
5,Greedy-Haversine,49,41,0.4226,37,2805.22,1.0143
5,Greedy-Personalizada,43,42,0.2418,36,2904.7,1.0094
5,UCS,1577,112,6.4732,32,2423.7,1.1885
