,Centro de Distribución (Vallejo Poniente),Cliente 1,Cliente 2,Cliente 3,Cliente 4,Cliente 5,Cliente 6,Cliente 7,Cliente 8,Cliente 9,Cliente 10,Cliente 11,Cliente 12,Cliente 13,Cliente 14,Cliente 15
Centro de Distribución (Vallejo Poniente),0.0,943.5,949.0,1042.4,1805.2,2403.1,2732.0,2155.3,1925.7,1758.4,2315.4,1343.1,1047.0,2186.3,2186.3,2180.3
Cliente 1,799.2,0.0,704.2,1769.4,2086.6,2264.9,2279.4,1702.6,1929.0,1310.1,1867.1,931.8,1276.2,2911.1,2119.1,1727.6
Cliente 2,1041.6,704.2,0.0,1687.2,2457.8,2969.1,2983.6,2406.8,2114.3,2014.3,2571.3,873.0,731.7,2831.4,2823.3,2431.8
Cliente 3,1794.7,2346.5,1986.1,0.0,1093.5,1691.4,2141.3,2559.3,2785.6,2357.5,2654.7,2617.2,1857.4,1441.6,1462.2,1610.8
Cliente 4,2123.7,2554.8,2315.1,2162.5,0.0,645.2,1128.8,1937.3,2163.7,1858.2,2032.7,2491.0,2201.2,1724.0,473.6,843.9
Cliente 5,2550.1,2981.2,2741.5,2588.8,812.7,0.0,691.4,1958.4,2282.2,2284.5,2459.1,2917.4,2627.5,2281.4,437.3,653.0
Cliente 6,2704.0,3135.1,2895.4,2742.8,1105.4,688.8,0.0,1539.3,1863.1,2438.4,2613.0,3071.3,2781.4,2646.0,1123.4,700.6
Cliente 7,2467.1,2118.3,2492.5,2715.1,2117.7,1701.1,1162.3,0.0,614.8,1428.8,2161.0,2313.2,2753.7,3658.3,2135.7,1712.9
Cliente 8,1869.7,1520.8,1895.1,2759.2,2168.3,2346.6,1915.5,759.1,0.0,825.3,1602.0,2177.8,2271.4,3708.9,2200.8,1809.2
Cliente 9,1586.2,1457.7,1890.6,2556.4,2552.6,2730.9,2599.9,1443.6,838.6,0.0,780.3,1356.1,2327.0,3698.2,2585.1,2193.6
Cliente 10,1292.4,677.4,1110.3,2334.8,2699.5,2877.8,2892.2,2315.5,2365.2,1923.0,0.0,575.8,1688.8,3478.7,2732.0,2340.5
Cliente 11,1330.7,891.6,873.0,2373.0,2913.8,3092.1,3106.5,2529.8,2403.4,2137.2,2694.2,0.0,1514.4,3517.0,2946.2,2554.7
Cliente 12,1022.4,1574.1,1002.6,1010.4,1794.2,2392.1,2842.0,2930.2,2700.6,2533.3,3090.3,1844.8,0.0,2154.6,2175.2,2311.5
Cliente 13,2158.9,2344.9,2350.3,2197.7,741.2,1339.1,1647.6,2004.4,2230.7,1697.9,2090.0,2548.3,2236.3,0.0,1138.9,1090.5
Cliente 14,2460.0,2891.1,2651.4,2498.8,720.6,436.3,1102.3,2273.6,2499.9,2194.4,2369.0,2827.3,2537.4,2089.1,0.0,858.3
Cliente 15,2029.8,2460.9,2221.2,2068.6,838.0,643.2,558.1,1603.2,1927.0,1764.3,1938.8,2397.1,2107.2,2378.7,866.6,0.0
