Costo_aleatorio_inicial,Costo_optimo_local
33204.8,19611.7
31605.2,17800.9
28937.4,15046.1
33545.3,17881.4
30770.0,14165.8
32052.7,18682.5
32673.8,18155.5
35315.3,16126.3
33084.1,19426.0
29619.2,17073.5
30579.1,19413.1
32926.6,18268.5
34035.3,16641.8
29007.9,13783.8
33378.8,16479.9
36303.6,17418.8
30635.6,18042.5
27574.9,17868.1
29318.6,15462.4
33059.4,16609.7
28279.7,15022.0
32713.4,13031.4
30453.0,13021.0
31254.2,15363.6
32494.7,18144.7
35447.8,16247.5
32610.6,13031.4
32104.3,18716.6
29310.0,20835.6
31229.4,17920.4
32060.3,19555.8
31247.4,16805.9
33572.2,19687.3
31943.2,15319.7
33726.0,18621.2
32440.8,21273.2
30489.6,19510.3
32298.5,20955.2
27861.7,13031.4
31054.6,21249.5
31651.8,19324.1
29425.3,13072.9
33499.5,20591.6
27336.7,17308.1
31216.4,19292.5
26001.1,15488.5
30376.2,20328.4
26163.0,13359.6
30515.6,13846.1
28819.0,19697.1
34198.1,17813.0
33014.7,17648.2
33464.6,16474.4
32642.5,22733.5
29768.6,13031.4
33011.0,16280.8
29478.5,13031.4
28345.6,16923.5
36843.1,18469.0
33354.1,18628.8
30988.7,19122.1
30882.0,16346.1
30931.6,18235.4
34111.5,19381.6
33760.0,13979.1
29417.4,21216.5
31751.5,19226.0
31430.4,19205.7
28028.0,17368.5
32595.2,20231.1
31085.5,21871.0
32279.6,14516.4
36182.9,16504.4
28503.8,20053.6
34661.4,18813.5
28275.5,18415.6
36007.7,19438.0
34093.3,15979.0
35081.0,16399.6
32200.4,19206.6
32030.7,14354.4
31533.8,18227.6
35001.5,15926.5
32670.7,15269.1
36997.1,15408.8
31601.1,15046.1
31195.6,18047.4
30434.4,17793.0
35712.6,19828.9
30226.5,18860.4
33187.0,17612.3
33076.1,20994.9
32077.3,13846.1
29560.2,15950.8
33017.8,21502.4
28741.0,18616.0
27970.6,15310.8
31525.6,18503.2
34807.3,16773.5
34374.4,17703.4
36144.0,18479.8
33317.9,15302.4
33111.4,18316.7
32062.4,17853.9
36969.9,17237.4
30142.7,15557.7
33329.1,15199.9
32777.2,13498.1
27112.0,16842.7
30314.9,16393.4
27335.1,18258.6
32671.2,14915.1
36241.6,16794.6
33071.1,15926.5
31911.7,15992.6
