Metodo,Semilla,Costo_m,Mejora_pct,Gap_optimo_pct,Tiempo_ms,Evaluaciones,Ruta
Vecino más cercano,,16615.4,47.65,27.6,0.05,1,"['Cliente 1', 'Cliente 2', 'Cliente 12', 'Cliente 3', 'Cliente 4', 'Cliente 14', 'Cliente 5', 'Cliente 15', 'Cliente 6', 'Cliente 7', 'Cliente 8', 'Cliente 9', 'Cliente 10', 'Cliente 11', 'Cliente 13']"
Vecino más cercano + 2-opt,,16615.4,47.65,27.6,0.21,106,"['Cliente 1', 'Cliente 2', 'Cliente 12', 'Cliente 3', 'Cliente 4', 'Cliente 14', 'Cliente 5', 'Cliente 15', 'Cliente 6', 'Cliente 7', 'Cliente 8', 'Cliente 9', 'Cliente 10', 'Cliente 11', 'Cliente 13']"
2-opt (hill climbing),0.0,16411.0,48.3,26.03,1.62,1156,"['Cliente 9', 'Cliente 10', 'Cliente 3', 'Cliente 13', 'Cliente 4', 'Cliente 14', 'Cliente 5', 'Cliente 15', 'Cliente 6', 'Cliente 7', 'Cliente 8', 'Cliente 1', 'Cliente 11', 'Cliente 2', 'Cliente 12']"
2-opt (hill climbing),1.0,13021.0,58.98,0.0,1.13,841,"['Cliente 2', 'Cliente 12', 'Cliente 3', 'Cliente 13', 'Cliente 4', 'Cliente 14', 'Cliente 5', 'Cliente 15', 'Cliente 6', 'Cliente 7', 'Cliente 8', 'Cliente 9', 'Cliente 10', 'Cliente 11', 'Cliente 1']"
2-opt (hill climbing),2.0,17479.0,44.93,34.24,1.52,1156,"['Cliente 2', 'Cliente 12', 'Cliente 3', 'Cliente 4', 'Cliente 15', 'Cliente 10', 'Cliente 11', 'Cliente 1', 'Cliente 9', 'Cliente 8', 'Cliente 7', 'Cliente 6', 'Cliente 5', 'Cliente 14', 'Cliente 13']"
2-opt (hill climbing),3.0,13031.4,58.94,0.08,1.25,946,"['Cliente 3', 'Cliente 13', 'Cliente 4', 'Cliente 14', 'Cliente 5', 'Cliente 15', 'Cliente 6', 'Cliente 7', 'Cliente 8', 'Cliente 9', 'Cliente 10', 'Cliente 11', 'Cliente 1', 'Cliente 2', 'Cliente 12']"
2-opt (hill climbing),4.0,19132.4,39.72,46.93,1.5,1156,"['Cliente 13', 'Cliente 14', 'Cliente 5', 'Cliente 6', 'Cliente 8', 'Cliente 9', 'Cliente 12', 'Cliente 3', 'Cliente 4', 'Cliente 15', 'Cliente 7', 'Cliente 10', 'Cliente 11', 'Cliente 2', 'Cliente 1']"
2-opt (hill climbing),5.0,13031.4,58.94,0.08,1.52,1156,"['Cliente 3', 'Cliente 13', 'Cliente 4', 'Cliente 14', 'Cliente 5', 'Cliente 15', 'Cliente 6', 'Cliente 7', 'Cliente 8', 'Cliente 9', 'Cliente 10', 'Cliente 11', 'Cliente 1', 'Cliente 2', 'Cliente 12']"
2-opt (hill climbing),6.0,19718.6,37.87,51.44,1.41,1051,"['Cliente 1', 'Cliente 2', 'Cliente 13', 'Cliente 4', 'Cliente 14', 'Cliente 7', 'Cliente 8', 'Cliente 10', 'Cliente 11', 'Cliente 12', 'Cliente 3', 'Cliente 5', 'Cliente 6', 'Cliente 15', 'Cliente 9']"
2-opt (hill climbing),7.0,13072.9,58.81,0.4,1.39,1051,"['Cliente 12', 'Cliente 3', 'Cliente 13', 'Cliente 4', 'Cliente 14', 'Cliente 5', 'Cliente 15', 'Cliente 6', 'Cliente 7', 'Cliente 8', 'Cliente 9', 'Cliente 10', 'Cliente 11', 'Cliente 2', 'Cliente 1']"
2-opt (hill climbing),8.0,18318.1,42.29,40.68,1.22,946,"['Cliente 7', 'Cliente 9', 'Cliente 10', 'Cliente 2', 'Cliente 3', 'Cliente 13', 'Cliente 4', 'Cliente 14', 'Cliente 5', 'Cliente 15', 'Cliente 6', 'Cliente 8', 'Cliente 1', 'Cliente 11', 'Cliente 12']"
2-opt (hill climbing),9.0,19404.3,38.86,49.02,1.13,841,"['Cliente 12', 'Cliente 2', 'Cliente 11', 'Cliente 1', 'Cliente 15', 'Cliente 5', 'Cliente 6', 'Cliente 7', 'Cliente 8', 'Cliente 10', 'Cliente 3', 'Cliente 13', 'Cliente 4', 'Cliente 14', 'Cliente 9']"
