Factor_T0,T0,alfa,Semilla,Costo_final_m,Soluciones_distintas,Aceptacion_peores_pct
0.01,70.4,0.9952,0,13783.8,28,0.0
0.01,70.4,0.9952,1,20783.0,19,0.06
0.01,70.4,0.9952,2,17753.4,25,0.01
0.01,70.4,0.9952,3,16036.6,14,0.0
0.01,70.4,0.9952,4,17670.5,26,0.01
0.1,703.6,0.9926,0,13072.9,1124,0.83
0.1,703.6,0.9926,1,13072.9,1125,0.81
0.1,703.6,0.9926,2,13072.9,1015,0.77
0.1,703.6,0.9926,3,13021.0,1160,0.88
0.1,703.6,0.9926,4,13359.6,1120,0.76
1.0,7036.4,0.99,0,13021.0,15326,9.32
1.0,7036.4,0.99,1,13979.1,15522,9.39
1.0,7036.4,0.99,2,13031.4,15688,9.56
1.0,7036.4,0.99,3,13021.0,15521,9.47
1.0,7036.4,0.99,4,13072.9,15572,9.42
10.0,70363.9,0.9874,0,13021.0,30675,20.17
10.0,70363.9,0.9874,1,13021.0,30529,20.06
10.0,70363.9,0.9874,2,13566.7,30528,20.16
10.0,70363.9,0.9874,3,13031.4,30650,20.14
10.0,70363.9,0.9874,4,13021.0,30590,20.16
